Extracting raw images from cat-alfa.pdf...

Total images found: 989

Detailed list:
page82_img5.jpg: 506x284
page82_img6.jpg: 887x887
page83_img1.jpg: 1670x1173
page83_img2.jpg: 336x336
page83_img3.jpg: 384x384
page83_img4.jpg: 384x384
page83_img5.jpg: 216x216
page83_img6.jpg: 1434x377
page83_img7.jpg: 376x149
page83_img8.jpg: 179x400
page84_img1.jpg: 1670x1173
page84_img2.jpg: 1434x377
page84_img3.jpg: 578x578
page84_img4.jpg: 383x383
page85_img1.jpg: 1670x1173
page85_img2.jpg: 1434x377
page85_img3.jpg: 582x212
page85_img4.jpg: 887x887
page86_img1.jpg: 1670x1173
page86_img2.jpg: 1434x377
page86_img3.jpg: 252x252
page86_img4.jpg: 180x180
page86_img5.jpg: 288x288
page86_img6.jpg: 288x288
page86_img7.jpg: 252x252
page86_img8.jpg: 252x252
page87_img1.jpg: 1670x1173
page87_img2.jpg: 1434x377
page87_img3.jpg: 319x278
page87_img4.jpg: 640x354
page88_img1.jpg: 1312x1015
page88_img2.jpg: 1312x312
page88_img3.jpg: 411x411
page88_img4.jpg: 1187x28
page88_img5.jpg: 1650x1275
page89_img1.jpg: 1401x1082
page89_img2.jpg: 1456x94
page89_img3.jpg: 411x411
page89_img4.jpg: 1154x354
page89_img5.jpg: 1650x1228
page90_img1.jpg: 1167x306
page90_img2.jpg: 1670x1173
page90_img3.jpg: 1151x610
page90_img4.jpg: 522x284
page91_img1.jpg: 1167x306
page91_img2.jpg: 1670x1173
page91_img3.jpg: 1151x610
page91_img4.jpg: 887x887
page91_img5.jpg: 514x277
page91_img6.jpg: 432x247
page91_img7.jpg: 432x254
page92_img1.jpg: 1167x306
page92_img2.jpg: 1670x1173
page92_img3.jpg: 480x413
page92_img4.jpg: 480x382
page92_img5.jpg: 480x400
page92_img6.jpg: 431x370
page92_img7.jpg: 437x370
page92_img8.jpg: 423x326
page93_img1.jpg: 1167x306
page93_img2.jpg: 1670x1173
page93_img3.jpg: 887x887
page93_img4.jpg: 477x397
page93_img5.jpg: 480x406
page93_img6.jpg: 480x384
page94_img1.jpg: 1457x1125
page94_img2.jpg: 411x411
page94_img3.jpg: 377x217
page94_img4.jpg: 1650x1228
page95_img1.jpg: 1167x306
page95_img2.jpg: 1670x1173
page95_img3.jpg: 887x887
